"loan_id","facility_id"
"1","1"
"2","1"
"3","1"
"5","1"
"4","1"
"6","1"
"7","1"
"8","1"
"9","3"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","1"
"17","1"
"18","1"
"19","1"
"20","1"
"21","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"28","1"
"29","1"
"30","1"
"32","1"
"31","1"
"33","2"
"34","1"
"35","1"
"36","1"
"37","2"
"38","3"
"39","4"
"40","2"
"41","2"
"42","2"
"43","2"
"44","2"
"45","2"
"46","3"
"47","3"
"48","3"
"49","2"
"50","2"
"51","2"
"52","2"
"53","2"
"54","2"
"55","1"
"56","2"
"57","2"
"58","3"
"59","2"
"60","3"
"61","2"
"62","2"
"63","2"
"64","2"
"65","2"
"66","2"
"67","2"
"68","2"
"69","3"
"70","2"
"71","3"
"72","2"
"73","2"
"74","3"
"75","3"
"76","3"
"77","3"
"78","3"
"79","3"
"80","3"
"81","3"
"82","3"
"83","3"
"84","3"
"85","3"
"86","4"
"87","4"
"88","3"
"89","3"
"90","4"
"91","3"
"92","4"
"93","3"
"94","3"
"95","3"
"96","3"
"97","3"
"98","4"
"99","4"
"100","3"
"101","3"
"102","3"
"103","3"
"104","3"
"105","3"
"106","3"
"107","4"
"108","4"
"109","4"
"110","3"
"111","4"
"112","3"
"113","3"
"114","4"
"115","4"
"116","3"
"117","4"
"118","4"
"119","4"
"120","4"
"121","4"
"122","4"
"123","4"
"124","4"
"125","4"
"126","4"
"127","4"
"128","4"
"129","4"
"130","4"
"131","4"
"132","4"
"133","4"
"134","4"
"135","4"
"136","4"
"137","4"
"138","4"
"139","4"
"140","5"
"141","5"
"142","4"
"143","5"
"144","5"
"145","5"
"146","5"
"147","5"
"148","5"
"149","5"
"150","5"
"151","5"
"152","5"
"153","5"
"154","5"
"155","5"
"156","5"
"157","5"
"158","5"
"160","5"
"159","5"
"161","5"
"162","5"
"163","5"
"164","5"
"165","5"
"167","5"
"166","5"
"168","5"
"169","5"
"170","6"
"171","7"
"172","6"
"173","4"
"174","6"
"175","6"
"176","5"
"177","7"
"178","6"
"179","6"
"180","6"
"181","6"
"182","6"
"183","6"
"184","6"
"185","6"
"186","7"
"187","7"
"188","6"
"189","6"
"190","6"
"191","6"
"192","6"
"193","6"
"194","6"
"195","6"
"196","6"
"197","7"
"198","6"
"199","6"
"200","6"
"201","7"
"202","6"
"203","6"
"204","7"
"205","6"
"206","6"
"207","7"
"208","7"
"209","7"
"210","7"
"211","7"
"212","7"
"213","7"
"214","7"
"215","6"
"216","7"
"217","7"
"218","7"
"219","7"
"220","7"
"221","7"
"222","7"
"223","7"
"224","7"
"225","7"
"226","7"
"229","7"
"227","7"
"228","7"
"230","8"
"231","8"
"232","8"
"233","8"
"234","8"
"235","8"
"236","8"
"237","6"
"238","8"
"239","8"
"240","8"
"241","8"
"242","8"
"243","8"
"244","8"
"245","8"
"246","8"
"247","8"
"248","8"
"249","8"
"250","8"
"251","8"
"252","8"
"253","11"
"254","8"
"255","8"
"256","8"
"257","8"
"258","8"
"259","8"
"260","8"
"261","8"
"262","8"
"263","8"
"264","8"
"265","11"
"266","8"
"267","8"
"268","8"
"269","8"
"270","8"
"271","8"
"272","8"
"273","8"
"274","11"
"275","11"
"276","11"
"277","8"
"278","11"
"279","11"
"280","11"
"281","11"
"282","11"
"283","11"
"284","11"
"285","11"
"286","7"
"287","11"
"288","11"
"289","11"
"290","11"
"291","11"
"292","11"
"293","11"
"294","11"
"295","11"
"296","11"
"297","11"
"298","11"
"299","11"
"300","11"
"301","11"
"302","11"
"303","11"
"304","11"
"305","11"
"306","11"
"307","11"
"308","12"
"311","12"
"309","11"
"310","12"
"312","12"
"313","12"
"314","12"
"315","12"
"316","12"
"317","12"
"318","12"
"319","12"
"320","12"
"321","12"
"322","12"
"323","12"
"324","12"
"325","12"
"326","12"
"327","12"
"328","12"
"329","12"
"330","12"
"331","12"
"332","12"
"333","12"
"334","12"
"335","12"
"336","12"
"337","12"
"338","12"
"339","12"
"340","12"
"341","12"
"342","10"
"343","12"
"344","10"
"345","10"
"346","10"
"347","10"
"348","10"
"349","10"
"350","10"
"351","9"
"352","10"
"353","10"
"354","10"
"355","10"
"356","10"
"357","12"
"358","9"
"359","10"
"360","10"
"361","10"
"362","10"
"363","10"
"364","10"
"365","10"
"366","10"
"367","10"
"368","10"
"369","10"
"370","10"
"371","10"
"372","10"
"373","10"
"374","10"
"375","10"
"376","10"
"377","10"
"378","10"
"379","10"
"380","10"
"381","10"
"382","10"
"383","10"
"384","9"
"385","9"
"386","9"
"387","9"
"388","9"
"389","9"
"390","9"
"391","9"
"392","9"
"393","9"
"394","9"
"395","9"
"396","9"
"397","9"
"398","9"
"399","9"
"400","9"
"401","9"
"402","9"
"403","9"
"404","9"
"405","9"
"406","9"
"407","10"
"408","9"
"409","9"
"410","9"
"411","9"
"412","9"
"413","9"
"414","9"
"415","9"
"416","9"
"417","9"
"418","13"
"419","13"
"420","13"
"421","9"
"422","13"
"423","13"
"424","9"
"425","13"